"ID","message","score"
"NA","ladies just remember matching bras &amp; panties tomorrow cause you're gonna get fucked by finals","59"
"NA","'twas the night before finals and I still have no bae, so the only thing going down on me is my gpa ","58"
"NA","Does anyone else keep thinking it's the weekend","59"
"NA","A good college is like unprotected sex: glad you got in but wish you never came","64"
"NA","8am: Physics final. 12pm: Calculus final. 4pm: Work. I'm gonna die tomorrow for sure","63"
"NA","I just want to fast forward my life to next Tuesday night ","66"
"NA","You've been on yak long enough break is over. Go get that A","65"
"NA","'Twas the week of finals and I've still got no bæ, so the only thing going down on me is my GPA.","64"
"NA","Please tell me I'm not the only one who totally wasted study day","65"
"NA","Studies have shown that students nowadays have the anxiety comparable to that of a mental patient in the 1950's","61"
"NA","Good thing I'm not flying home for break. They'd probably charge me extra for the bags under my eyes","58"
"NA","Asians love cigarettes ","49"
"NA","This semester has been brought to you by the letter C","50"
"NA","I wear a life jacket during finals week to stay above C level","55"
"NA","Whether you ace or fail your exams, snooki will always be richer than you ","54"
"NA","WHAT I LEARNED IN BOATING SCHOOL TODAY IS","45"
"NA","Trying to find which computers actually connect to the printers in the union is like playing minesweeper. ","40"
"NA","Davey Jones: 'Do you feel death upon you?'","40"
"NA","Just googled 'where is the best place to meet rich men?' because finals","45"
"NA","Guy that ordered 3 large pizzas and shouted 'Free pizza' in Starbucks u da real mvp","58"
"NA","You gotta stop talking to people who tell you that you should be wearing a bra...life's too short for that kind of negativity ","54"
"NA","I wish I could get through all of my studying in a 3 minute 'I Want to Know' Tarzan montage.","53"
"NA","Grades going down... On a Tuesday","56"
"NA","Fuck finals, fuck the library, fuck the nice weather toying with us, but above all fuck the art questions on Trivia Crack.","69"
"NA","Just remember: You is kind, you is smart, you is important. ","65"
"NA","Not smart enough to land a good job, not pretty enough to marry rich","64"
