vocabulary,about_ethnicity,about_nationality,about_religion,about_gender,about_sexual_orientation,about_disability,about_class,offensiveness
spickaboo,1,0,0,0,0,0,0,0.00
spig,1,0,0,0,0,0,0,0.00
spigger,1,0,0,0,0,0,0,0.00
spigotty,1,0,0,0,0,0,0,0.00
spik,1,0,0,0,0,0,0,0.00
spink,1,1,0,0,0,0,0,0.00
spook,1,0,0,0,0,0,0,0.00
squarehead,1,1,0,0,0,0,0,0.00
squaw,1,0,0,0,0,0,0,0.00
squinty,1,0,0,0,0,0,0,0.00
stovepipe,1,0,0,0,0,0,0,0.00
sub human,1,0,0,0,0,0,0,0.00
sucker fish,1,0,0,0,0,0,0,0.00
suntan,1,0,0,0,0,0,0,0.00
taffy,1,1,0,0,0,0,0,0.00
tar baby,1,0,0,0,0,0,0,0.65
teapot,1,0,0,0,0,0,0,0.00
tenker,1,0,0,0,0,0,0,0.00
thicklips,1,0,0,0,0,0,0,0.00
tiger,1,0,0,0,0,0,0,0.00
timber nigger,1,0,0,0,0,0,0,0.98
tincker,1,0,0,0,0,0,0,0.00
tinkar,1,0,0,0,0,0,0,0.00
tinkard,1,0,0,0,0,0,0,0.00
tinker,1,0,0,0,0,0,0,0.00
tinkere,1,0,0,0,0,0,0,0.00
touch of the tar brush,1,0,0,0,0,0,0,0.00
towel head,1,0,0,0,0,0,0,0.10
trailer park trash,1,0,0,0,0,0,1,0.00
trailer trash,1,0,0,0,0,0,1,0.06
trash,1,0,0,0,0,0,1,0.00
tunnel digger,1,1,0,0,0,0,0,0.00
twinkie,1,0,0,0,0,0,0,0.00
tyncar,1,0,0,0,0,0,0,0.00
tynekere,1,0,0,0,0,0,0,0.00
tynkard,1,0,0,0,0,0,0,0.00
tynkare,1,0,0,0,0,0,0,0.00
tynker,1,0,0,0,0,0,0,0.00
tynkere,1,0,0,0,0,0,0,0.00
uncircumcised baboon,1,0,0,0,0,0,0,0.00
uncivilised,1,0,0,0,0,0,0,0.00
uncivilized,1,0,0,0,0,0,0,0.00
uncle tom,1,0,0,0,0,0,0,0.00
velcro head,1,0,0,0,0,0,0,0.00
wagon burner,1,0,0,0,0,0,0,0.00
wasp,1,0,1,0,0,0,0,0.06
wetback,1,0,0,0,0,0,0,0.48
wexican,1,1,0,0,0,0,0,0.00
whigger,1,1,0,0,0,0,0,1.00
whipped,1,1,0,0,0,0,0,0.00
white chocolate,1,0,0,0,0,0,0,0.00
white nigger,1,1,0,0,0,0,0,0.00
white trash,1,0,0,0,0,0,1,0.00
whitey,1,0,0,0,0,0,0,0.00
wic,1,0,1,0,0,0,0,0.00
wigga,1,1,0,0,0,0,0,0.00
wigger,1,1,0,0,0,0,0,0.02
wiggerette,1,1,0,0,0,0,0,0.00
wink,1,0,0,0,0,0,0,0.00
wog,1,1,0,0,0,0,0,0.00
yardie,1,1,0,0,0,0,1,0.00
yellow,1,0,0,0,0,0,0,0.00
yellow bone,1,0,0,0,0,0,0,0.00
yid,1,0,0,0,0,0,0,0.00
yokel,1,0,0,0,0,0,0,0.00
zebra,1,0,0,0,0,0,0,0.00
zigabo,1,0,0,0,0,0,0,0.00
zip,1,0,0,0,0,0,0,0.00
zipperhead,1,0,0,0,0,0,0,0.00
zippohead,1,0,0,0,0,0,0,0.00
zog,1,0,0,0,0,0,0,0.00
zog lover,1,0,0,0,0,0,0,0.00
argie,0,1,0,0,0,0,0,0.03
banana bender,0,1,0,0,0,0,0,0.00
banana lander,0,1,0,0,0,0,0,0.00
blockhead,0,1,0,0,0,0,0,0.00
bog hopper,0,1,0,0,0,0,1,0.00
bog irish,0,1,0,0,0,0,1,0.00
bog jumper,0,1,0,0,0,0,1,0.00
bog trotter,0,1,0,0,0,0,1,0.00
boon,0,1,0,0,0,0,1,0.00
booner,0,1,0,0,0,0,1,0.00
boxhead,0,1,0,0,0,0,0,0.00
cheese eating surrender monkey,0,1,0,0,0,0,0,0.00
chinaman,0,1,0,0,0,0,0,0.40
chink,0,1,0,0,0,0,0,0.38
dingo fucker,0,1,0,0,0,0,0,0.00
dogan,0,1,1,0,0,0,0,0.00
dogun,0,1,1,0,0,0,0,0.00
dyke jumper,0,1,0,0,0,0,0,0.00
eh hole,0,1,0,0,0,0,0,0.00
fob,0,1,0,0,0,0,0,0.00
fresh off the boat,0,1,0,0,0,0,0,0.00
gwat,0,1,0,0,0,0,0,0.00
heinie,0,1,0,0,0,0,0,0.00
honyak,0,1,0,0,0,0,0,0.00
honyock,0,1,0,0,0,0,0,0.00
hoser,0,1,0,0,0,0,1,0.10
hun,0,1,1,0,0,0,0,0.00
hunyak,0,1,0,0,0,0,0,0.00
hunyock,0,1,0,0,0,0,0,0.00
ice monkey,0,1,0,0,0,0,0,0.00
jerry,0,1,0,0,0,0,0,0.00
kraut,0,1,0,0,0,0,0,0.00
leb,0,1,0,0,0,0,0,0.00
lebbo,0,1,0,0,0,0,0,0.00
leprechaun,0,1,0,0,0,0,0,0.00
limey,0,1,0,0,0,0,0,0.27
lowlander,0,1,0,0,0,0,0,0.00
lugan,0,1,0,0,0,0,0,0.00
merkin,0,1,0,0,0,0,0,0.00
nip,0,1,0,0,0,0,0,0.00
ocker,0,1,0,0,0,0,0,0.00
pohm,0,1,0,0,0,0,0,0.00
polack,0,1,0,0,0,0,0,0.00
pom,0,1,0,0,0,0,0,0.00
pommie,0,1,0,0,0,0,0,0.00
pommie grant,0,1,0,0,0,0,0,0.00
pommy,0,1,0,0,0,0,0,0.00
rhine monkey,0,1,0,0,0,0,0,0.37
sawney,0,1,0,0,0,0,0,0.00
seppo,0,1,0,0,0,0,0,0.00
septic,0,1,0,0,0,0,0,0.00
shant,0,1,0,0,0,0,1,0.00
sheepfucker,0,1,0,0,0,0,0,0.00
skinny,0,1,0,0,0,0,0,0.00
snout,0,1,1,0,0,0,0,0.00
soup taker ,0,1,1,0,0,0,0,0.50
surrender monkey,0,1,0,0,0,0,0,0.00
tan,0,1,0,0,0,0,0,0.00
tommy,0,1,0,0,0,0,0,0.00
whore from fife,0,1,0,0,0,0,0,0.00
wop,0,1,0,0,0,0,0,1.00
yank,0,1,0,0,0,0,0,0.00
yankee,0,1,0,0,0,0,0,0.00
zionazi,0,1,1,0,0,0,0,0.93
amo,0,0,1,0,0,0,0,0.00
carrot snapper,0,0,1,0,0,0,1,0.00
clam,0,0,1,0,0,0,0,0.00
clamhead,0,0,1,0,0,0,0,0.00
gerudo,0,0,1,0,0,0,0,0.00
mackerel snapper ,0,0,1,0,0,0,0,0.00
muzzie,0,0,1,0,0,0,0,0.49
orangie,0,0,1,0,0,0,0,0.00
papist,0,0,1,0,0,0,0,0.37
prod,0,0,1,0,0,0,0,0.00
proddy dog,0,0,1,0,0,0,0,1.00
proddywhoddy,0,0,1,0,0,0,0,0.50
proddywoddy,0,0,1,0,0,0,0,0.00
russellite ,0,0,1,0,0,0,0,0.00
spike,0,0,1,0,0,0,0,0.00
bint,0,0,0,1,0,0,0,0.10
bird,0,0,0,1,0,0,0,0.06
bitch,0,0,0,1,0,0,0,0.00
cunt,0,0,0,1,0,0,0,0.65
dyke,0,0,0,1,1,0,0,0.89
ho,0,0,0,1,0,0,0,0.00
hoe,0,0,0,1,0,0,0,0.00
pussy,0,0,0,1,0,0,0,0.27
scag,0,0,0,1,0,0,1,0.00
skag,0,0,0,1,0,0,1,0.00
tranny,0,0,0,1,1,0,0,0.50
twat,0,0,0,1,0,0,0,0.08
fag,0,0,0,0,1,0,0,0.00
faggot,0,0,0,0,1,0,0,0.98
fairy,0,0,0,0,1,0,0,0.00
fruit,0,0,0,0,1,0,0,0.00
queen,0,0,0,0,1,0,0,0.00
queer,0,0,0,0,1,0,0,0.22
cripple,0,0,0,0,0,1,0,0.00
idiot,0,0,0,0,0,1,0,0.00
mong,0,0,0,0,0,1,0,0.00
retard,0,0,0,0,0,1,0,0.79
retarded,0,0,0,0,0,1,0,0.24
sperg,0,0,0,0,0,1,0,0.00
bitter clinger,0,0,0,0,0,0,1,0.00
bludger,0,0,0,0,0,0,1,0.00
charva,0,0,0,0,0,0,1,0.00
charver,0,0,0,0,0,0,1,0.00
chav,0,0,0,0,0,0,1,0.00
conspiracy theorist,0,0,0,0,0,0,1,0.00
dole bludger,0,0,0,0,0,0,1,0.00
gurrier,0,0,0,0,0,0,1,0.00
hayseed,0,0,0,0,0,0,1,0.00
